Продукт;Жиры, г;Белки, г;Углеводы, г;Калорийность, Ккал;;;
Кисель из клюквы;0;0,1;16,3;66;;;
Кисель из кураги;0;0;13;53;;;
Кисель из яблок;0;0,4;12,9;54;;;
Коктейль персиковый;0,1;0,1;23,7;97;;;
Компoт из черешни, консервы;1,9;1,7;18,5;98;;;
Компот из абрикосов;0,2;0,5;20,6;87;;;
Компот из абрикосов, консервы;0;0,2;13,6;56;;;
Компот из крыжовника и черной смородины;0;0,2;21,7;89;;;
Компот из персиков, консервы;0,1;0,3;13,9;58;;;
Компот из яблок, консервы;0;0,3;21,6;88;;;
Компот персиковый;0,2;0,2;22,3;93;;;
Компот черешневый;0;0,2;21,8;88;;;
Компот яблочный;0,1;0,2;14;58;;;
Компот вишневый;0,1;0,1;13,6;55;;;
Компот грушевый;0,1;0,2;13,8;57;;;
Компот из айвы;0,1;0,1;13,4;55;;;
Компот из айвы, консервы;0,1;0,1;13,7;56;;;
Компот из вишни, консервы;0,3;0,4;19,7;82;;;
Компот из груш, консервы;0,3;0,6;23,7;101;;;
Коньяк ординарный «три звездочки»;0,2;0,2;18,1;74;;;
Кофе жареный в зернах;0;0;1,5;239;;;
Кофе на сгущенном молоке;14,4;13,9;29,5;331;;;
Кофе на молоке;0,9;0,7;10,9;55;;;
Кофе растворимый черный;1;0,7;11,2;58;;;
Кофе со сливками и ликером;0;0;0;1;;;
Кофе черный (без сахара);16;3;21;327;;;
Кофе эспрессо;0,5;0,2;0,2;7;;;
Кофе эспрессо без кофеина;0;0;0;2;;;
Ликер вишневый;0;0;0;0;;;
Наливка «Сливянка»;0;0;40;299;;;
Напиток апельсиновый;0;0;28;215;;;
Напиток клюквенный;0;0,1;13;53;;;
Напиток яблочный;0;0,1;12,4;51;;;
Напиток Coca-cola классический;0,1;0,1;13,2;54;;;
Напиток из плодов шиповника;0;0;12;44;;;
Напиток на плодово-ягодных настоях;0,1;0,2;11,9;50;;;
Напиток на цитрусовых настоях;0;0;9,5;46;;;
Напиток на эссенциях (Coca-Cola, Pepsi, «Байкал» и др,);0;0;7,5;33;;;
Напиток яблочно­ морковный, консервы;0;0;8,7;38;;;
Напиток яблочно­абрикосовый, консервы;0;0,3;15,5;68;;;
Напиток яблочно­виноградный, консервы;0;0,2;14;58;;;
Настойка горькая «Русский сувенир»;0;0,3;12,3;52;;;
Пиво светлое;0;0;6,4;248;;;
Пиво светлое, с долей сухих в-в в исходном сусле 11%;0;0;2;29;;;
Пиво светлое, с долей сухих в-в в исходном сусле 20%;0;0,3;4,6;42;;;
Пиво темное;0;0,4;7,6;75;;;
Пиво темное, с долей сухих в-в в исходном сусле 13%;0;0;4;43;;;
Пиво темное, с долей сухих в-в в исходном сусле 20%;0;0,3;5,7;48;;;
Сладкий вермут;0;0,4;8,7;74;;;
Сок абрикосовый;0;0,2;13,7;160;;;
Сок айвовый;0;0,5;12,7;55;;;
Сок ананасовый;0,1;0,5;11,2;51;;;
Сок ананасовый без сахара;0,1;0,3;11,8;52;;;
Сок апельсиновый;0;0;13;53;;;
Сок виноградный;0,1;0,7;13,2;60;;;
Сок вишневый;0,2;0,3;16,3;70;;;
Сок гранатовый;0,2;0,7;11,4;51;;;
Сок грейпфрутовый;0,1;0,3;14,2;56;;;
Сок грейпфрутовый белый без сахара;0,1;0,3;7,9;38;;;
Сок грейпфрутовый белый с сахаром;0;0;9;39;;;
Сок грейпфрутовый розовый без сахара;0;1;11;46;;;
Сок из смеси овощей;0;0;9;39;;;
Сок клюквенный без сахара;0;1;5;19;;;
Сок лимонный;0;0;12;46;;;
Сок лимонный без сахара;0;0,6;3,9;33;;;
Сок мандариновый;0;0;9;25;;;
Сок морковный;0;0,8;9,8;45;;;
Сок персиковый;0,1;1,1;12,6;56;;;
Сок свекольный;0;0,3;16,5;68;;;
Сок сливовый;0;1;14,1;61;;;
Сок томатный;0,1;0,3;15,2;68;;;
Сок томатный с солью;0,1;1;2,9;18;;;
Сок черничный;0;1;4;17;;;
Сок черноплодно­рябиновый;1;0;8;38;;;
Сок черносмородиновый;0,1;0,1;11,4;50;;;
Сок шиповниковый;0;0,5;7,3;41;;;
Сок яблочный;0,2;0,1;16,1;67;;;
Холодный чай Lipton с лимоном;0,1;0,5;10,1;46;;;
Холодный чай Nestea с лимоном;0;0;9;35;;;
Чай ромашковый;0;0;9;36;;;
Чай с лимоном;0;0;0;1;;;
Чай с молоком;0;0,1;6,8;28;;;
Чай с сахаром;0,8;0,7;8,2;43;;;
Чай травяной;0;0,1;7;28;;;
Чай черный без сахара, лимона и молока;0;0;0;1;;;
Яблоки в сиропе, консервы;0;0;1;1;;;
Авокадо;0,1;0,2;11,5;48;;;
Базилик;15;2;9;160;;;
Баклажаны;0;3;3;23;;;
Баклажаны, фаршированные овощами;0,1;1,2;4,5;24;;;
Белокочанная капуста;4,5;2,9;7,4;83;;;
Борщ;0,1;1,8;4,7;28;;;
Борщ из свежей капусты и картофеля;1;0,8;4,1;29;;;
Борщ летний;1,1;1;5,4;36;;;
Борщ с картофелем;1,2;1,1;5,7;38;;;
Борщ украинский;1,1;1,1;6,8;42;;;
Брокколи;2,2;1,1;6,5;50;;;
Брокколи смесь Hortex;0,4;2,8;6,6;34;;;
Брюква;0,3;1,9;3,1;23;;;
Брюква припущенная;0,1;1,2;7,7;37;;;
Брюссельская;1,6;1,3;8,4;54;;;
Брюссельская капуста;0,3;4,8;3,1;35;;;
Ватрушки картофельные;0,3;3,4;8,9;43;;;
Вешенки;7,6;6,2;17,7;165;;;
Голубцы овощные;0;3;6;43;;;
Грибы белые;5,2;2,2;9,7;95;;;
Грибы белые сушеные;1,7;3,7;1,1;34;;;
Грибы жареные (сушеные);14,3;30,3;9;286;;;
Грибы жареные в сметанном соусе;24,4;11,3;1,2;270;;;
Грибы жареные с картофелем;14,5;6,7;3,5;172;;;
Грибы лисички;5,2;3,9;12,7;114;;;
Грибы опята;1;1,5;1;19;;;
Грибы подберезовики;1,2;2,2;0,5;22;;;
Грибы подосиновики;0,8;2,1;1,2;20;;;
Грибы сыроежки;0,5;3,3;1,2;22;;;
Грибы шампиньоны;0,7;1,7;1,5;19;;;
Грибы, запеченные в сметанном соусе;1;4,3;0,1;27;;;
Грибы, тушенные с картофелем;16,6;6,5;3,2;188;;;
Драники картофельные;6,4;4;10,7;117;;;
Запеканка капустная;4,5;2,7;18,6;127;;;
Запеканка из тыквы;5,2;3,1;13,5;114;;;
Запеканка картофельная с овощами;6,1;4,1;16,3;137;;;
Запеканка морковная;5,9;3;17,5;136;;;
Зразы картофельные;5;2,7;17,8;128;;;
Икра из баклажанов, консервы;6,4;2,8;20,3;152;;;
Икра из кабачков, консервы;13,3;1,7;5,1;148;;;
Икра кабачковая;8,9;1,9;7,7;119;;;
Икра свекольная;4,7;1,2;7,7;78;;;
Имбирь свежий;6,8;2,3;11,7;119;;;
Кабачки;1;2;18;80;;;
Кабачки жареные;0,3;0,6;4,6;24;;;
Кабачки запеченные;5,9;1,1;7,5;88;;;
Кабачки припущенные;10;2,7;9,7;140;;;
Капуста квашеная;10,5;2,3;6,3;130;;;
Капуста жареная;0,1;1,8;3;23;;;
Капуста запеченная;2,8;1,8;4,2;50;;;
Капуста цветная жареная;3,3;2;9,2;75;;;
Капуста цветная отварная;3,1;1,7;3;47;;;
Картофель;0,2;1,7;3,4;22;;;
Картофель, жаренный брусочками;0,3;6,6;71,6;317;;;
Картофель, жаренный ломтиками (из отварного);9,6;2,8;23,5;192;;;
Картофель, тушенный с грибами;8,6;2,3;18,6;161;;;
Картофель, запеченный в сметанном соусе;14,5;4,7;19,5;228;;;
Каша из тыквы;5,3;2,5;13,8;114;;;
Китайская капуста;1,7;2,1;15,7;87;;;
Кольраби;0,2;1,5;2,2;13;;;
Котлеты капустные;0,1;2,8;7,9;44;;;
Котлеты картофельные;8,2;4,2;15,3;153;;;
Котлеты морковные;6,9;2,8;16,2;139;;;
Котлеты свекольные;6,7;3,4;19,2;152;;;
Краснокочанная;8,1;4,1;24,1;187;;;
Краснокочанная капуста;0,2;0,8;5,1;26;;;
Кресс-салат;0,2;1,4;7,4;31;;;
Кукуруза сладкая;0,1;2,3;1,3;11;;;
Латук;1;3;19;86;;;
Лук жареный;0,1;0,9;3;14;;;
Лук зеленый (перо);13,5;4,5;27,4;251;;;
Лук маринованный;0,1;1,3;3,2;20;;;
Лук порей;4,7;1,2;7,6;79;;;
Лук репка;0,2;2;6,3;36;;;
Луковичный флорентийский фенхель;0,2;1,4;8,2;41;;;
Майоран сушеный;0,2;0,7;3;16;;;
Мангольд;7;13;61;271;;;
Морковь;0,2;1,8;3,7;19;;;
Морковь отварная;0,1;1,3;6,9;35;;;
Морковь припущенная;0,1;1,3;6,4;33;;;
Морковь тушеная с рисом;1,6;1,4;7,7;52;;;
Морская капуста;5;1,8;17,2;122;;;
Огурцы (грунтовые);0,2;0,9;0;5;;;
Огурцы (парниковые);0,1;0,8;2,5;14;;;
Огурцы соленые;0,1;0,7;1,9;11;;;
Окрошка овощная;0,1;0,8;1,7;13;;;
Оладьи из тыквы;0,8;0,9;6,8;39;;;
Пастернак (корень);7;4;19,8;158;;;
Патиссон;0,5;1,4;9,2;47;;;
Патиссон;0,1;0,9;8,6;34;;;
Перец сладкий;0;1;3;16;;;
Перец, фаршированный овощами;0,1;1,3;4,9;26;;;
Петрушка;5,9;1,5;10,1;100;;;
Петрушка (корень);0,4;3,7;7,6;49;;;
Печеное таро;0,6;1,5;10,1;51;;;
Пирожки картофельные с морковью;0,3;1,9;34,1;144;;;
Помидоры;4,2;2,4;18,9;124;;;
Помидоры без кожицы, консервы;0;0,6;4,2;20;;;
Помидоры жареные;0;0,5;2,3;12;;;
Помидоры с кожицей, консервы;4,7;1,8;5,1;73;;;
Помидоры, фаршированные с рисом и морковью;0,1;1,1;3,5;20;;;
Помидоры, фаршированные яйцом и луком;4,9;2;9,3;91;;;
Портобелло;6,2;2,9;3,5;83;;;
Пудинг из тыквы;0;3;5;26;;;
Пудинг морковный;3,2;3;12,3;92;;;
Пюре из моркови;4,1;3;14;106;;;
Пюре из тыквы;5,6;1,9;8,1;90;;;
Пюре картофельное;6,2;1,7;6,3;88;;;
Рагу овощное;0,8;2,1;14,7;75;;;
Рассольник домашний;4,5;1,9;10,6;91;;;
Ревень;1;1;5,8;36;;;
Редис;0,1;0,7;2,5;16;;;
Редька с маслом;0,1;1,2;3,4;20;;;
Редька черная;7;1,7;6,4;96;;;
Репа;0,2;1,9;6,7;36;;;
Репа припущенная;0,1;1,5;6,2;32;;;
Салат;1,5;1,6;6,3;45;;;
Свекла;3,2;1,7;8,6;71;;;
Свекла отварная;0,1;1,5;8,8;42;;;
Свекла тушеная;0,1;1,8;9,8;48;;;
Свекла, тушенная с яблоками;3;1,6;10,3;75;;;
Свекольник холодный;3,9;1,3;10,7;84;;;
Сельдерей;0,2;0,8;6,1;30;;;
Сельдерей (корень);0,1;0,9;2,1;13;;;
Сельдерей (стебли);0,3;1,3;6,5;34;;;
Соленая окра;0;1;9;42;;;
Солянка грибная;0,1;1,7;6,1;29;;;
Соус томатный острый;1,2;0,5;1,3;18;;;
Спаржа;0;2,5;21,2;99;;;
Суп картофельный;0,1;1,9;3,1;21;;;
Суп картофельный с перловой крупой;1,2;1,1;7,8;45;;;
Суп-пюре из шпината;1,1;1;6,5;37;;;
Суп-пюре из картофеля;2;1,9;4;42;;;
Суп-пюре из моркови;2;1,6;8,3;58;;;
Суфле морковное;1,8;1,2;4,5;39;;;
Томатная паста, консервы;12,9;6,5;11,3;189;;;
Томатное пюре, консервы;0;4,8;19;102;;;
Томаты (грунтовые);0;3,6;11,8;66;;;
Топинамбур;0,2;1,1;3,8;24;;;
Турнепс;0,1;2,1;12,8;61;;;
Тыква;0;1;6;28;;;
Тыква жареная;0,1;1;4,4;22;;;
Тыква маринованная;5,7;1,7;6,9;86;;;
Тыква отварная;0,1;0,6;8,9;42;;;
Тыква припущенная;0,1;1,2;4,9;26;;;
Укроп;1,7;1,2;4,8;40;;;
Хрен;0,5;2,5;6,3;40;;;
Цветная капуста;0,4;3,2;10,5;59;;;
Цикорий;0,3;2,5;4,2;30;;;
Цуккини;0,3;1,4;3,8;19;;;
Чеснок;0;1;3;16;;;
Шиитаке сушеные;0,5;6,5;29,9;149;;;
Шницель из капусты;1;10;75;296;;;
Шпинат;6,4;3,4;11,6;118;;;
Шпинат-пюре, консервы;0,3;2,9;2;23;;;
Щавель;0,1;2;2;16;;;
Щи из квашеной капусты;0,3;1,5;2,9;22;;;
Щи из свежей капусты;1;0,8;1,5;19;;;
Щи из щавеля;1,1;0,9;2,5;24;;;
Щи суточные;3,5;2,3;1,8;48;;;
Горчица столовая;1;0,9;1,5;19;;;
Дрожжи прессованные;5,3;9,9;12,7;143;;;
Желатин;2,7;12,7;8,5;109;;;
Заправка для салата;0,4;87,2;0,7;355;;;
Маринад овощной без томата;23,3;0;4,8;235;;;
Отруби пшеничные;9,1;1,2;10,5;134;;;
Порошок горчичный;3,8;16;16,6;165;;;
Соус белый основной;11,1;37,1;32,6;378;;;
Соус грибной;4,1;1;3,8;56;;;
Соус клюквенный;6,2;1,2;4,8;82;;;
Соус красный основной;0;0;12,6;51;;;
Соус луковый;2;1,1;6,2;48;;;
Соус майонез со сметаной;4,8;1,3;6,1;75;;;
Соус молочный;31,9;2,8;3,3;312;;;
Соус польский;5,2;2;7,1;84;;;
Соус с хреном;6,1;2,6;3;78;;;
Соус сметанный;0,1;0,7;4,2;27;;;
Соус томатный;5,2;1,9;5,7;78;;;
Соус черносмородиновый;4,5;1,7;7,8;80;;;
Балык осетровый холодного копчения;0,1;0,3;67,6;275;;;
Бутербод с соленой горбушей;12,5;20,4;0;194;;;
Бутерброд с килькой и яйцом;2,7;6,7;14,8;110;;;
Бутерброд с сельдью;6,9;7,1;15,2;151;;;
Бутерброд с зернистой икрой кеты;6,7;5,8;15,1;144;;;
Бутерброд с икрой осетровой зернистой;3,9;5,5;15;117;;;
Вобла;3,5;5,2;15;112;;;
Вобла холодного копчения;2,8;18;0;95;;;
Галки из трески;6,3;31,1;0;181;;;
Горбуша;1,1;12;7,3;87;;;
Горбуша в томатном соусе, консервы;6,5;20,5;0;140;;;
Горбуша натуральная, консервы;6;15;4,1;130;;;
Горбуша отварная;5,8;20,9;0;136;;;
Каракатица свежая;21,8;14,4;0;254;;;
Карась;1;16;1;79;;;
Карп;1,8;17,7;0;87;;;
Карп жареный;5,3;16;0;112;;;
Кета;10,5;18,5;3,2;181;;;
Кета натуральная, консервы;5,6;19;0;127;;;
Кета соленая;4,8;21,5;0;129;;;
Кефаль свежая;9,6;24,3;0;184;;;
Креветки свежие;1,2;18,3;0,8;87;;;
Лещ;2;20;1;106;;;
Масляная рыба свежая;14;19;0;205;;;
Мидии;8;17;0;146;;;
Минтай;2;11,5;3,3;77;;;
Навага;0;20;0;89;;;
Навага жареная;1,6;19,2;0;91;;;
Нерка красная;8,3;18,3;4,8;169;;;
Нерка натуральная, консервы;8,4;20,3;0;157;;;
Окунь речной;3,5;19,5;0;109;;;
Осетр свежий;11,9;17,8;0;179;;;
Осьминог свежий;4;16;0;105;;;
Палтус белокорый;1;15;2;82;;;
Путассу;0,5;17,2;0;73;;;
Раки речные;0,7;20,5;0,3;90;;;
Раки речные вареные;1;15,5;1,2;76;;;
Сазан;1,3;20,3;1;97;;;
Салака;2;38;0;178;;;
Салака горячего копчения;6,3;17;0;125;;;
Сельдь рубленая;8,5;17;0;145;;;
Семга свежая;15;14;0;191;;;
Семга соленая потрошенная с головой;13;20;0;208;;;
Сибасс свежий;12,5;22,5;0;202;;;
Сиг свежий;2;18;0;97;;;
Скумбрия атлантическая;6;19;0;134;;;
Скумбрия в масле, консервы;6,4;23,4;0;150;;;
Солянка рыбная;28,9;14,4;0;318;;;
Сом;1,2;2,4;1,2;25;;;
Сом в томатном соусе, консервы;5,1;17,2;0;115;;;
Теша осетровая холодного копчения;6;13,7;8,7;144;;;
Тиляпия свежая;25,7;17,6;0;302;;;
Треска;2;20;0;96;;;
Тунец;5,1;9,7;3,9;101;;;
Угорь;5;23;0;144;;;
Форель морская свежая;11,8;37;0;264;;;
Хек;1,9;11,8;7,6;95;;;
Хек припущенный;2,2;16,6;0;86;;;
Чавыча;2,4;17,8;0;91;;;
Айва;0,4;5;53;242;;;
Алыча;0,5;0,6;9,6;48;;;
Ананас;0,1;0,2;7,9;34;;;
Апельсин;0,6;2,8;66,9;255;;;
Апельсин с сахаром;0,2;0,9;8,1;43;;;
Банан;0,2;0,7;28,7;122;;;
Вишня;0,3;0,4;68,2;265;;;
Вишня с сахаром;0,2;0,8;10,6;52;;;
Гранат;0,4;0,7;21,7;97;;;
Грейпфрут;0,6;0,7;14,5;72;;;
Грейпфрут с сахаром;0,2;0,7;6,5;35;;;
Груша;0,2;0,5;28,1;120;;;
Груша сушеная;0,3;0,4;10,3;47;;;
Джем из абрикосов;0,6;2,3;62,6;270;;;
Джем мандариновый;0;0,5;71,6;276;;;
Изюм;0;0,3;71,8;276;;;
Инжир;0;3;79;299;;;
Инжир сушеный;0,2;0,7;12;54;;;
Лимон;0;1;11;30;;;
Лимон с сахаром;0,1;0,9;3;34;;;
Манго;0,1;0,6;38,7;169;;;
Мандарин;1;0;18;73;;;
Нектарины;0,2;0,8;7,5;38;;;
Папайя;0;2;15;63;;;
Персик;0;1;10;39;;;
Персик сушеный;0,1;0,9;9,5;45;;;
Повидло яблочное;0,4;3;57,7;254;;;
Помело;0;0,4;65;250;;;
Пюре яблочное;0;1;8;33;;;
Арбуз;0,1;2,2;59;253;;;
Брусника;0,1;0,6;5,8;27;;;
Варенье из клубники;0,5;0,7;8,2;46;;;
Варенье из малины;0,1;0,3;74;285;;;
Виноград;0,2;0,6;70,4;273;;;
Голубика;0,5;2,3;65,8;281;;;
Дыня;0,1;0,6;72,9;284;;;
Ежевика;0,3;0,6;7,4;35;;;
Земляника (садовая);0,5;1,5;4,4;34;;;
Клубника;0,4;0,8;7,5;41;;;
Клюква;0,3;0,7;7,7;32;;;
Крыжовник;0,2;0,5;3,7;28;;;
Малина;0,2;0,7;9,1;45;;;
Малина с молоком;0,5;0,8;8,3;46;;;
Морошка;1,8;1,8;12,7;76;;;
Облепиха;0,9;0,8;7,4;40;;;
Смородина белая;5,4;1,2;5,7;82;;;
Смородина красная;0,2;0,5;8;42;;;
Смородина черная;0,2;0,6;7,7;43;;;
Суп-пюре из малины;0,4;1;7,3;44;;;
Тыква;0,1;0,2;11,2;48;;;
Черника;0,1;1;4,4;23;;;
Шиповник;0,6;1,1;7,6;44;;;
Белок;1,4;3,4;48,3;284;;;
Белок сухой;0;11,1;1;48;;;
Желток;1,8;82,4;1,2;350;;;
Омлет из яичного порошка;11,5;12,7;0,7;157;;;
Перепелиное яйцо целое;17;10,3;1,6;200;;;
Салат яичный;13,1;11,9;0,6;168;;;
Яичница глазунья;18,8;7,6;3,1;213;;;
Яичный порошок;20,9;12,9;0,9;243;;;
Яйцо отварное;37,3;46;4,5;542;;;
Яйцо под майонезом;11,5;12,7;0,7;157;;;
Яйцо целое;24,5;4,1;4,7;256;;;
